# Teszt jegyzőkönyv
#### Készítette: GTTG - Penyaskó Dávid

Lépés | Funkció | Tesztelés leírása | Státusz | Megjegyzés | Aláírás | Időpont
--- | --- | --- | --- | --- | --- | --- 
1 | Bejegyzések | Bejegyzések létrehozódnak | Siker | - | Penyaskó Dávid | 2023.10.10.
2 | Bejegyzések | Üresen nem hozódik létre bejegyzés | Siker | - | Penyaskó Dávid | 2023.10.10.
3 | Begyejzések | Bejegyzéseket lehet törölni az adatbázisból | Siker | - | Penyaskó Dávid | 2023.10.10.
4 | Bejegyzések | Bejegyzés rész reszponzív | Siker | - | Penyaskó Dávid | 2023.10.10.
5 | Bejegyzések | Bejegyzések módosítása | Siker | - | Penyaskó Dávid | 2023.10.10.
6 | Bejegyzések | Módosításkor üres mezőket elfogad | Sikertelen | PHP kód javítása | Penyaskó Dávid | 2023.10.10.
7 | Bejegyzések | Bejegyzések törlése | Siker | - | Penyaskó Dávid | 2023.10.10.
8 | Bejegyzések | Gombok működése | Siker | - | Penyaskó Dávid | 2023.10.10.
9 | Navbar | Navbar reszponzív | Sikertelen | - | Penyaskó Dávid | 2023.10.10.
10 | Navbar | Navbar csökken az oldal méretének növelésével | Siker | - | Penyaskó Dávid | 2023.10.10.
11 | Navbar | Navbar animációk | Siker | - | Penyaskó Dávid | 2023.10.10.
12 | Navbar | Navbar gombok működése | Siker | - | Penyaskó Dávid | 2023.10.10.
